cgpa,attendance,backlogs,internships,projects,certifications,aptitude_score,coding_score,technical_skills_score,communication_score,branch,skills,placement
9.18,85.48,0,1,4,4,98.72,69.6,62.34,84.78,EEE,HTML:Advanced;Python:Intermediate;SQL:Intermediate;React:Beginner,1
8.36,60.95,3,0,1,4,46.04,64.5,57.05,68.09,CSE,Machine Learning:Beginner;HTML:Beginner;C++:Beginner;CSS:Advanced,0
5.96,91.27,1,1,1,3,51.73,63.08,41.66,97.42,MECH,HTML:Advanced;React:Intermediate;Python:Beginner;Machine Learning:Beginner;JavaScript:Intermediate,0
5.55,91.73,0,0,0,0,83.35,45.92,88.1,87.64,CSE,JavaScript:Intermediate;Python:Advanced;Machine Learning:Intermediate,0
7.8,84.56,1,0,6,6,99.79,78.34,91.32,41.9,CSE,SQL:Beginner;Python:Beginner;Data Science:Beginner;CSS:Intermediate,1
8.29,55.94,0,0,2,6,86.34,52.37,73.3,73.57,ECE,JavaScript:Intermediate;C++:Intermediate;CSS:Intermediate;Python:Advanced,1
9.9,61.15,0,1,0,4,46.8,38.58,87.89,43.16,CIVIL,Machine Learning:Advanced;JavaScript:Advanced;Data Science:Advanced;HTML:Intermediate,1
6.68,70.03,2,1,1,0,81.85,83.19,99.9,81.08,IT,Data Science:Advanced;SQL:Advanced;HTML:Intermediate,1
9.31,56.9,0,3,6,5,72.42,70.14,81.12,65.06,CSE,Python:Intermediate;SQL:Intermediate;C++:Intermediate;HTML:Intermediate;React:Beginner,1
8.15,92.94,3,2,6,7,91.4,92.86,93.8,46.38,CIVIL,JavaScript:Beginner;HTML:Intermediate;Python:Beginner,1
9.29,61.51,0,0,1,1,77.97,31.8,35.97,87.4,IT,Python:Beginner;C++:Intermediate;React:Beginner;Data Science:Beginner,1
6.56,70.45,3,0,3,4,85.17,78.07,79.5,89.46,EEE,JavaScript:Beginner;Java:Intermediate;Machine Learning:Intermediate;Python:Beginner,0
5.16,83.83,3,2,3,2,61.14,67.01,74.04,64.88,IT,React:Advanced;Machine Learning:Intermediate;SQL:Beginner;HTML:Beginner,0
9.9,66.67,0,0,2,5,57.68,74.93,64.23,77.86,IT,Data Science:Beginner;HTML:Intermediate,1
7.02,83.97,3,1,4,7,80.34,92.14,85.8,64.27,IT,Java:Intermediate;Python:Intermediate;SQL:Beginner;JavaScript:Advanced,1
5.22,93.17,3,0,0,1,68.84,76.13,55.31,74.65,ECE,SQL:Beginner;JavaScript:Intermediate;Machine Learning:Advanced,0
8.07,91.96,0,0,3,7,41.99,71.54,75.0,71.57,MECH,C++:Advanced;Java:Beginner;CSS:Advanced;React:Intermediate,1
5.99,60.13,1,1,5,5,73.8,72.79,73.16,60.88,EEE,React:Intermediate;Java:Beginner;C++:Beginner,1
5.44,63.06,1,0,6,8,42.16,91.17,56.31,63.5,MECH,Data Science:Intermediate;CSS:Beginner;Machine Learning:Beginner;React:Beginner,1
7.11,72.35,0,0,5,1,83.51,50.79,87.97,68.65,IT,HTML:Intermediate;React:Beginner,1
5.26,93.37,0,2,1,2,97.27,51.53,39.29,77.39,ECE,CSS:Beginner;SQL:Intermediate;C++:Advanced;Data Science:Beginner;HTML:Intermediate,1
5.99,57.82,0,0,0,3,52.96,64.75,95.38,89.15,CSE,React:Beginner;SQL:Beginner;Machine Learning:Intermediate;Data Science:Advanced,1
8.34,93.18,0,1,6,0,76.55,31.99,38.88,75.35,ECE,SQL:Intermediate;Java:Intermediate;CSS:Beginner;Machine Learning:Intermediate,1
9.3,74.57,2,1,3,5,83.98,89.25,36.41,42.68,CSE,Data Science:Intermediate;C++:Beginner,1
7.08,60.58,0,1,3,0,67.05,38.63,83.84,90.08,ECE,React:Beginner;Data Science:Beginner,1
6.42,99.51,1,1,1,8,65.42,43.5,42.32,49.75,EEE,C++:Beginner;Python:Intermediate;SQL:Beginner;HTML:Intermediate,1
6.6,82.11,1,0,4,6,45.9,87.87,48.66,55.81,MECH,HTML:Advanced;JavaScript:Intermediate;Python:Intermediate;Data Science:Beginner;Java:Intermediate,1
8.67,75.77,2,2,4,6,47.37,70.76,75.82,90.37,CSE,Java:Intermediate;JavaScript:Beginner;Data Science:Beginner;C++:Intermediate;SQL:Intermediate,1
5.89,99.2,0,3,3,0,78.79,53.8,53.83,78.34,ECE,JavaScript:Advanced;Data Science:Advanced;Machine Learning:Beginner,1
5.63,85.13,1,0,5,4,84.85,41.75,74.47,84.88,CSE,React:Advanced;Java:Intermediate;Python:Advanced,0
6.05,59.09,1,1,4,1,96.42,31.13,59.7,65.2,CSE,SQL:Advanced;React:Intermediate;Java:Beginner;JavaScript:Intermediate,0
8.96,89.62,0,1,6,1,67.13,41.51,37.28,47.3,EEE,SQL:Advanced;C++:Beginner;HTML:Intermediate;Java:Intermediate,1
6.61,95.03,1,0,2,8,79.53,86.2,96.88,62.28,MECH,CSS:Advanced;Data Science:Intermediate;JavaScript:Advanced;C++:Beginner,1
6.29,98.04,2,1,5,1,97.36,85.51,68.45,48.48,EEE,React:Beginner;Machine Learning:Advanced;Java:Advanced,1
